Primary Breed,Description,LeeListing,Num2011,Num2013,Num2015
AFFENPINSCHER,Affenpinscher,Affenpinscher,15,16,17
AFGHAN HOUND,Afghan Hound,Afghan Hound,4,5,6
AIREDALE TERR,Airedale Terrier,.na,176,149,131
AKBASH,Akbash,.na,3,8,5
AKITA,Akita,Akita,70,70,79
ALAPAHA BLUE BL,Alapaha Blue Blood Bulldog,.na,0,0,1
ALASK KLEE KAI,Alaskan Klee Kai,.na,6,7,10
ALASK MALAMUTE,Alaskan Malamute,.na,116,84,117
ALASKAN HUSKY,Alaskan Husky,.na,28,48,115
AM PIT BULL TER,American Pit Bull Terrier,.na,37,28,38
AMER BULLDOG,American Bulldog,.na,166,192,397
AMER ESKIMO,American Eskimo,.na,347,289,278
AMER FOXHOUND,American Foxhound,American Foxhound,28,22,25
AMER STAFF,American Staffordshire Terrier,American Staffordshire Terrier,90,66,59
AMER WATER SPAN,American Water Spaniel,American Water Spaniel,4,6,5
ANATOL SHEPHERD,Anatolian Shepherd,.na,7,12,4
AUST CATTLE DOG,Australian Cattle Dog,Australian Cattle Dog,182,158,178
AUST KELPIE,Australian Kelpie,.na,20,14,24
AUST SHEPHERD,Australian Shepherd,Australian Shepherd,760,736,850
AUST TERRIER,Australian Terrier,Australian Terrier,31,28,21
BARBET,Barbet,.na,2,1,2
BASENJI,Basenji,Basenji,38,38,56
BASSET HOUND,Basset Hound,Basset Hound,239,207,194
BATAM BULLDOG,,.na,0,0,1
BEAGLE,Beagle,Beagle,1633,1436,1387
BEARDED COLLIE,Bearded Collie,Bearded Collie,95,80,85
BEAUCERON,Beauceron,.na,3,4,5
BEDLINGTON TERR,Bedlington Terrier,Bedlington Terrier,19,21,19
BELG MALINOIS,Belgian Malinois,Belgian Malinois,44,42,65
BELG SHEEPDOG,Belgian Sheepdog,Belgian Sheepdog,22,22,25
BELG TERVUREN,Belgian Tervuren,.na,10,8,10
BELGIAN SHEPHER,,.na,0,0,1
BERNESE HOUND,,.na,0,0,3
BERNESE MTN DOG,Bernese Mountain Dog,Bernese Mountain Dog,375,354,392
BICHON FRISE,Bichon Frise,Bichon Frise,1551,1283,1232
BLACK LAB,,.na,2,0,2
BLACK MOUTH CUR,,.na,0,0,7
BLACK RUSSIAN T,,.na,0,0,1
BLACK/TAN HOUND,Black and Tan Coonound,.na,59,43,40
BLOODHOUND,Bloodhound,Bloodhound,18,17,21
BLUE LACY,Blue Lacy,.na,0,1,1
BLUETICK HOUND,Bluetick Coonhound,.na,27,17,15
BOERBOEL,Boerboel,.na,12,8,11
BOLOGNESE,Bolognese,.na,1,1,1
BORDER COLLIE,Border Collie,Border Collie,1433,1245,1249
BORDER TERRIER,Border Terrier,Border Terrier,159,158,154
BORZOI,Borzoi,Borzoi,3,3,2
BOSTON TERRIER,Boston Terrier,Boston Terrier,672,629,695
BOUV FLANDRES,Bouvier des Flandres,.na,166,122,113
BOXER,Boxer,Boxer,847,832,939
BRIARD,Briard,Briard,26,23,14
BRITISH SH,Brittany Spaniel,Brittany,193,157,161
BRUSS GRIFFON,Brussels Griffon,.na,68,62,61
BULL TERR MIN,Bull Terrier,Bull Terrier,86,70,8
BULL TERRIER,Bull Terrier - Miniature,.na,7,7,90
BULLDOG,Bulldog,.na,163,138,138
BULLMASTIFF,Bullmastiff,Bullmastiff,100,89,115
CAIRN TERRIER,Cairn Terrier,Cairn Terrier,334,268,282
CANAAN DOG,Canaan Dog,.na,3,4,8
CANE CORSO,Cane Corso,.na,132,147,204
CARDIGAN WELSH,,.na,0,0,1
CAROLINA DOG,Carolina Dog,.na,2,6,4
CATAHOULA,Catahoula Leopard Hound,.na,41,43,61
CATTLE DOG,,.na,1,0,0
CAVALIER SPAN,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,366,326,363
CESKY TERR,Cesky Terr,.na,7,6,6
CHESA BAY RETR,Chesapeake Bay Retriever,Chesapeake Bay Retriever,56,44,36
CHIHUAHUA LH,Chihuahua - Long Haired,Chihuahua,238,194,211
CHIHUAHUA SH,Chihuahua - Smooth Coated,Chihuahua,1343,1278,1514
CHINESE CRESTED,Chinese Crested Dog,Chinese Crested,85,78,76
CHINESE SHARPEI,Chinese Sharpei,Chinese Shar Pei,142,152,161
CHOCOLATE LAB,Chocolate Labordor,.na,0,0,2
CHOW CHOW,Chow Chow,Chow Chow,225,181,147
CIMECO,Cirneco dell Etna,.na,0,1,1
CLUMBER SPAN,Clumber Spaniel,Clumber Spaniel,2,3,5
COCKAPOO,Cockapoo,.na,1,0,3
COCKER SPAN,Cocker Spaniel,.na,2106,1842,1847
COLLIE ROUGH,Collie - Rough,.na,204,154,143
COLLIE SMOOTH,Collie - Smooth,.na,232,195,184
COTON DE TULEAR,Coton de Tulear,.na,297,264,274
CURLYCOAT RETR,Curly-Coated Retriever,Curly Coated Retriever,6,3,1
DACHSHUND,Dachshund,Dachshund,748,595,566
DACHSHUND LH,Dachshund - Longhaired,Dachshund,61,61,61
DACHSHUND MIN,Dachshund Min,Dachshund,93,124,203
DACHSHUND WH,Dachshund - Wirehaired,Dachshund,40,33,27
DALMATIAN,Dalmatian,Dalmatian,67,53,53
DANDIE DINMONT,Dandie Dinmont Terrier,Dandie Dinmont Terrier,23,18,13
DOBERMAN PINSCH,Doberman Pinscher,Doberman Pinscher,371,329,383
DOGO ARGENTINO,Dogo Argentino,.na,18,20,54
DOGUE DE BORDX,Dogue de Bordeaux,.na,35,33,36
DUTCH SHEEPDOG,Dutch Sheepdog,.na,15,17,16
DUTCH SHEPHERD,Dutch Shepherd,.na,15,23,40
EGYPTIAN BALADI,Egyptian Baladi,.na,0,0,1
ENG BULLDOG,English Bulldog,.na,329,329,324
ENG COCKER SPAN,English Cocker Spaniel,.na,126,111,103
ENG COONHOUND,English Coonhound (Redtick Coonhound),.na,38,34,36
ENG FOXHOUND,English Foxhound,English Foxhound,43,40,44
ENG POINTER,English Pointer,.na,41,32,37
ENG SETTER,English Setter,English Setter,106,85,73
ENG SHEPHERD,English Shepherd,.na,8,10,11
ENG SPRNGR SPAN,English Springer Spaniel,English Springer Spaniel,367,339,292
ENG TOY SPANIEL,English Toy Spaniel,.na,2,1,2
ENTLEBUCHER MT DG,Entlebucher Mountain Dog,.na,5,5,10
EURASIER,Eurasier,.na,4,9,8
EURO HOUND,Eurohound,.na,0,0,2
FEIST,Feist,.na,0,0,2
FIELD SPANIEL,Field Spaniel,Field Spaniel,15,12,12
FILA,Fila Brasileiro,.na,11,13,26
FINNISH SPITZ,Finnish Spitz,Finnish Spitz,49,34,25
FLAT COAT RETR,Flat-Coated Retriever,.na,82,89,88
FORMOSA MOUNTAI,Formosa Mountai,.na,6,5,4
FOX TERR SMOOTH,Fox Terrier - Smooth,.na,56,47,51
FOX TERR WIRE,Fox Terrier - Wirehaired,.na,100,79,87
FRENCH BULLDOG,French Bulldog,French Bulldog,219,257,348
FRENCH SPANIEL,French Spaniel,.na,3,1,1
GANARASKAN,Ganaraskan,.na,49,64,66
GERMAN PINSCHER,German Pinscher,.na,14,15,14
GERMAN SHEPARD,German Shepherd Dog,.na,3083,2842,3062
GERM SH POINT,German Shorthaired Pointer,German Shorthaired Pointer,273,212,195
GERM WH POINT,German Wirehaired Pointer,German Wirehaired Pointer,38,29,29
GLEN OF IMAAL,Glen of Imaal Terrier,.na,2,1,1
GOLDEN RETR,Golden Retriever,Golden Retriever,3976,3531,3625
GORDON SETTER,Gordon Setter,Gordon Setter,15,12,14
GRAND BASSET GV,Grand Basset Griffon Vendeen,.na,4,3,4
GREAT DANE,Great Dane,Great Dane,201,200,225
GREAT PYRENEES,Great Pyrenees,Great Pyrenees,61,58,89
GREATER SWISS MT,Greater Swiss Mountain Dog,.na,9,13,15
GREYHOUND,Greyhound,Greyhound,184,161,178
HARRIER,Harrier,.na,20,15,7
HAVANESE,Havanese,.na,536,502,561
HOUND,Hound,.na,6,58,134
HOVAWART,Hovawart,.na,8,6,5
IBIZAN HOUND,Ibizan Hound,Ibizan Hound,5,6,4
ICELND SHEEPDOG,Iceland Sheepdog,.na,1,3,1
IRISH SETTER,Irish Setter,Irish Setter,72,57,43
IRISH TERRIER,Irish Terrier,Irish Terrier,23,20,37
IRISH WATR SPAN,Irish Water Spaniel,Irish Water Spaniel,12,6,4
IRISH WOLFHOUND,Irish Wolfhound,Irish Wolfhound,32,24,26
ITAL GREYHOUND,Italian Greyhound,Italian Greyhound,67,73,69
JAPANESE CHIN,Japanese Chin,Japanese Chin,34,37,21
KARELIAN BEAR,Karelian Bear Dog,.na,15,17,17
KEESHOND,Keeshond,Keeshond,33,33,30
KERRY BLUE TERR,Kerry Blue Terrier,Kerry Blue Terrier,37,21,28
KOMONDOR,Komondor,.na,1,1,7
KOOIKERHONDJE,Kooikerhundje,.na,1,1,2
KOREAN JINDO,Korean Jindo,.na,37,40,47
KUVASZ,Kuvasz,Kuvasz,18,14,17
LABRADOR RETREV,Labrador Retriever,Labrador Retriever,6194,5525,5516
LABRADOODLE-MIN,Labradoodle-minatrue,.na,0,0,3
LAGOTTO ROMAGNO,Lagotto Romagno,.na,0,2,1
LAKELAND TERR,Lakeland Terrier,Lakeland Terrier,30,27,15
LANDSEER,Landseer,.na,0,0,4
LEONBERGER,Leonberger,.na,38,31,38
LHASA APSO,Lhasa Apso,.na,644,533,405
LOWCHEN,Lowchen,.na,10,9,8
MALAMUTE,Malmute,.na,0,0,1
MALTESE,Maltese,Maltese,1555,1454,1622
MANCHESTER TERR,Manchester Terrier,.na,43,39,40
MAREMMA SHEEPDG,Maremma Sheepdog,.na,4,6,5
MASTIFF,Mastiff,Mastiff,117,109,184
MEXICAN HAIRLESS,Mexican Hairless,.na,5,9,15
MINIATURE PINSCHER,Miniature Pinscher,.na,359,321,333
MIXED,Mixed,.na,0,8,20
MUNSTERLANDER,Munsterlander,.na,39,38,36
NEAPOLITAN MASTIFF,Neapolitan Mastiff,.na,17,12,10
NEWFOUNDLAND,Newfoundland,Newfoundland,133,127,128
NORFOLK TERRIER,Norfolk Terrier,.na,44,35,42
NORWEGIAN BUHUND,Norwegian Buhund,.na,14,12,11
NORW ELKHOUND,Norwegian Elkhound,Norwegian Elkhound,22,18,17
NORWICH TERRIER,Norwich Terrier,.na,21,21,22
NS DUCK-TOLLING RETR,Nova Scotia Duck-Tolling Retriever,.na,181,156,168
OLD ENG BULLDOG,Old English Bulldog,.na,48,63,97
OLDENG SHEEPDOG,Old English Sheepdog,.na,85,84,89
OTTERHOUND,Otterhound,.na,0,0,1
PAPILLON,Papillon,Papillon,167,145,143
PARSON JACK RUS TER,Parson (Jack) Russell Terrier,.na,2052,1738,1679
PATTERDALE TERR,Patterdale Terrier,.na,4,5,8
PB GRIFFON VENDEEN,Petit Basset Griffon Vendeen,.na,17,15,13
PEKINGESE,Pekingese,.na,224,193,159
PHARAOH HOUND,Pharaoh Hound,Pharaoh Hound,4,5,6
PICARDY SHEEPDG,Picardy Sheepdog,.na,5,3,7
PIT BULL,Pit Bull Terrier,.na,419,295,214
PLOTT HOUND,Plott Hound,.na,8,10,19
PODENGO PEQUENO,Podengo Portugueso Pequeno,.na,39,38,36
POINTER,Pointer,Pointer,65,55,65
POLISH LOWLND SHEEPDG,Polish Lowland Sheepdog,.na,15,17,17
POMERANIAN,Pomeranian,Pomeranian,1019,854,930
POODLE MINIATURE,Poodle - Miniature,.na,1946,1737,1788
POODLE STANDARD,Poodle - Standard,.na,1322,1188,1314
POODLE TOY,Poodle - Toy,.na,779,672,640
PORCELAINEHOUND,Porcelainehound,.na,3,3,4
PORTUGUESE PODENGO,Portuguese Podengo,.na,3,0,2
PORTUGUESE WATER,Portuguese Water Dog,Portuguese Water Dog,468,418,471
POTCAKE,Patcake,.na,0,0,2
PRESA CANARIO,Presa Canario,.na,14,24,27
PUDELPOINTER,Pudelpointer,.na,2,2,2
PUG,Pug,Pug,1084,1010,1046
PULI,Puli,Puli,48,42,42
PUMI,Pumi,.na,2,2,2
QUEENSLAND HEELER,Queensland Heeler,.na,1,1,0
RAT TERRIER,Rat Terrier,.na,52,43,58
REDBONE COONHOUND,Redbone Coonhound,.na,27,34,27
RHODESIAN RIDGEBACK,Rhodesian Ridgeback,Rhodesian Ridgeback,160,161,153
ROTTWEILER,Rottweiler,Rottweiler,657,633,741
RUSSIAN TERRIER,Russian Terrier,.na,18,22,18
SALUKI,Saluki,Saluki,11,12,17
SAMOYED,Samoyed,Samoyed,87,82,107
SCHIPPERKE,Schipperke,Schipperke,26,23,16
SCHNAUZER GIANT,Schnauzer - Giant,Giant Schnauzer,65,53,46
SCHNAUZER MIN,Schnauzer - Miniature,.na,1531,1327,1231
SCHNAUZER STAND,Schnauzer - Standard,Standard Schnauzer,185,180,185
SCHULZRUDI,Schulzrudi,.na,0,0,1
SCOT DEERHOUND,Scottish Deerhound,Scottish Deerhound,0,0,1
SCOT TERRIER,Scottish Terrier,Scottish Terrier,139,130,115
SEALYHAM TERR,Sealyham Terrier,Sealyham Terrier,10,12,9
SHETLAND SHEEPDOG,Shetland Sheepdog,.na,593,510,434
SHIBA INU,Shiba Inu,Shiba Inu,143,139,145
SHIH TZU,Shih Tzu,Shih Tzu,4192,3750,3837
SHILOH SHEPHERD,Shiloh Sherherd,.na,1,0,1
SIBERIAN HUSKY,Siberian Husky,Siberian Husky,1146,1093,1294
SILKY TERRIER,Silky Terrier,.na,45,42,34
SKYE TERRIER,Skye Terrier,Skye Terrier,9,4,3
SC WHEAT TERR,Soft-Coated Wheaten Terrier,.na,835,715,668
SPANISH MASTIFF,Spanish Mastiff,.na,0,1,2
SPANISH WATER DOG,Spanish Water Dog,.na,2,3,5
SPINONE ITALIANO,Spinone Italiano,.na,12,12,13
SPRINGER SPANIEL,Springer Spaniel,.na,1,1,2
ST BERNARD RC,St Bernard - Rough Coated,Saint Bernard,19,20,15
ST BERNARD SC,St Bernard - Smooth Coated,Saint Bernard,42,36,32
STAFFORDSHIRE BT,Staffordshire Bull Terrier,Staffordshire Bull Terrier,179,115,79
SUSSEX SPANIEL,Sussex Spaniel,.na,2,1,1
SWEDISH VALLHUND,Swedish Vallhund,.na,5,4,5
SWISS HOUND,Swiss Hound,.na,7,5,1
TENN TREE BRIN HD,Tennesee Treeing Brindle Hound,.na,1,0,1
TERRIER,Terrier,.na,142,140,144
TIBETAN MASTIFF,Tibetan Mastiff,.na,10,13,19
TIBETAN SPANIEL,Tibetan Spaniel,Tibetan Spaniel,33,26,29
TIBETAN TERRIER,Tibetan Terrier,Tibetan Terrier,68,53,52
TOSA,Tosa,.na,2,4,1
TOY FOX TERRIER,Toy Fox Terrier,.na,25,19,21
TREE WALKER CH,Treeing Walker Coonhound,.na,42,52,50
VIZSLA,Vizsla,Vizsla,263,244,264
WEIMARANER,Weimaraner,Weimaraner,235,220,190
WELSH CORGI CARIGAN,Welsh Corgi - Cardigan,Cardigan Welsh Corgi,63,55,75
WELSH CORGI PEMBROKE,Welsh Corgi - Pembroke,.na,107,107,120
WELSH SPR SPAN,Welsh Springer Spaniel,Welsh Springer Spaniel,28,25,25
WELSH TERRIER,Welsh Terrier,Welsh Terrier,56,51,53
WEST HIGHLAND WT,West Highland White Terrier,West Highland White Terrier,703,622,611
WHIPPET,Whippet,Whippet,153,161,179
WIRE HAIRED PT GRIFFON,Wire-haired Pointing Griffon,Wirehaired Pointing Griffon,15,13,15
WOLF HYBRID,Wolf hybrid,.na,0,0,2
YORKSHIRE TERR,Yorkshire Terrier,Yorkshire Terrier,1793,1658,1837
